iter	RMSE
252	0.2789598041
253	0.2780244152
254	0.2775400318
255	0.2766212982
256	0.2757479958
257	0.2744436312
258	0.2738119698
259	0.2736323889
260	0.2729485283
261	0.272178589
262	0.2714335187
263	0.2707727988
264	0.2702219991
265	0.2696671119
266	0.2685385694
267	0.2673701934
268	0.2666649287
269	0.2663145133
270	0.2658311626
271	0.2649712095
272	0.2645151752
273	0.2638302006
274	0.2631925354
275	0.2622564395
276	0.2618056645
277	0.2613152679
278	0.2603572104
279	0.2593489901
280	0.2584582216
281	0.2580873794
282	0.2579163127
283	0.2570108558
284	0.2562882221
285	0.2554024754
286	0.2548540997
287	0.2535846811
288	0.2527884928
289	0.2523213362
290	0.2519061229
291	0.251302788
292	0.2506696217
293	0.2497502326
294	0.2488385566
295	0.2480762158
296	0.2473178209
297	0.2465789026
298	0.2455417058
299	0.2446543607
300	0.2442364022
301	0.2436409555
302	0.242978109
303	0.2427759536
304	0.2423242518
305	0.2418797225
306	0.2411048368
307	0.2404491187
308	0.239751015
309	0.239239662
310	0.2389514917
311	0.2381547125
312	0.2376200266
313	0.2371636356
314	0.2366243635
315	0.235810271
316	0.2351141877
317	0.2344740587
318	0.2336406546
319	0.2331527123
320	0.2325562101
321	0.2319395486
322	0.2313235796
323	0.2306569715
324	0.2302739222
325	0.229432821
326	0.2288328211
327	0.2281237236
328	0.2274812533
329	0.2265775266
330	0.2258378114
331	0.2251072481
332	0.2245641317
333	0.2235098372
334	0.2228943378
335	0.2222429454
336	0.2212806069
337	0.2206298525
338	0.220029075
339	0.2199702597
340	0.2195803596
341	0.2189879125
342	0.2186009445
343	0.218221358
344	0.2176361004
345	0.2172632461
346	0.2167497834
347	0.2162076958
348	0.2156739898
349	0.2151070236
350	0.2146856388
351	0.2141045308
352	0.2135382409
353	0.2131212383
354	0.2130625645
355	0.2122603763
356	0.2115092366
357	0.2110997936
358	0.2105537009
359	0.210004778
360	0.2094091695
361	0.208879533
362	0.2081153877
363	0.2076512499
364	0.207551108
365	0.206701929
366	0.2061622039
367	0.2057290631
368	0.2053028267
369	0.2045814189
370	0.2040755524
371	0.2035186717
372	0.2030785333
373	0.2026688774
374	0.202265745
375	0.2017874402
376	0.2011221497
377	0.2007925905
378	0.2000862142
379	0.1996077437
380	0.1991422448
381	0.1987554086
382	0.1982236002
383	0.1977451305
384	0.1972223661
385	0.1967076335
386	0.196200812
387	0.1957203252
388	0.195267681
389	0.1948177116
390	0.1943730896
391	0.193927154
392	0.1932381477
393	0.1929554115
394	0.1922933792
395	0.1918175777
396	0.1913870762
397	0.1907134443
398	0.1902751871
399	0.1898100252
400	0.1891639745
401	0.1887186206
402	0.1882950995
403	0.1878927947
404	0.1873849525
405	0.1869703276
406	0.1863595322
407	0.1857310587
408	0.1853023141
409	0.1846543713
410	0.1842301608
411	0.1836163172
412	0.1830241784
413	0.1824191946
414	0.1818366384
415	0.1812028158
416	0.1807943511
417	0.1804197123
418	0.1801618732
419	0.1797588122
420	0.1792984192
421	0.1789844676
422	0.1786172764
423	0.1779932456
424	0.1776127281
425	0.1771588317
426	0.176546339
427	0.1762979777
428	0.1758492965
429	0.1756935696
430	0.1753040154
431	0.1749343302
432	0.1745515279
433	0.1742677166
434	0.1736688235
435	0.173230349
436	0.1729281572
437	0.1724992437
438	0.1721425138
439	0.1715566717
440	0.1711380943
441	0.1707502622
442	0.1704187435
443	0.170031339
444	0.169654756
445	0.169277056
446	0.1689126339
447	0.1686759533
448	0.1681985097
449	0.1679213251
450	0.1675897648
451	0.1672367155
452	0.1669077279
453	0.1668361766
454	0.1664797262
455	0.166200898
456	0.1661328699
