a_etage,cheminee,classification_f,cuve_eau,douche_wc,etat_general,garage_ferme,gardien_securite,groupe_electrogene,loyer_mensuel,meuble,nombre_chambres,nombre_salles_eau,piscine,quartier,superficie,surface_terrain,terrasse_balcon,type_d_acces,type_logement,nom_quartier,id_quartier
False,True,F5,False,interieur,bon,True,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,550.0
False,False,F2,False,interieur,bon,False,False,False,1500000.0,False,1,1.0,False,soarano ambondrona,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F3,False,interieur,bon,False,False,False,2500000.0,False,2,1.0,False,ambohimiandra fenomanana antsa,0.0,0.0,True,voiture_avec_parking,Appartement,ambohimiandra fenomanana antsa,61.0
False,False,F4,False,interieur,bon,False,True,False,2500000.0,False,3,2.0,False,mandrosoa ivato,0.0,0.0,False,voiture_avec_parking,Appartement,mandrosoa ivato,457.0
False,False,F5,False,interieur,bon,False,False,False,600000.0,False,4,1.0,False,ambatomainty,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomainty,134.0
False,False,F5,False,interieur,bon,False,False,False,600000.0,False,4,1.0,False,ambatomainty,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomainty,451.0
False,False,F5,False,interieur,bon,False,False,False,600000.0,False,4,1.0,False,ambatomainty,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomainty,467.0
False,False,F3,True,interieur,bon,False,True,True,3500000.0,False,2,1.0,False,andohalo,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F3,False,interieur,bon,False,False,False,1500000.0,False,2,2.0,False,ambohimanandray,0.0,0.0,False,voiture_avec_parking,Appartement,ambohimanandray,177.0
False,False,F3,False,interieur,bon,False,False,False,800000.0,False,2,1.0,False,mahazoarivo,0.0,0.0,False,voiture,Appartement,,
False,False,F4,False,interieur,bon,False,True,False,1500000.0,False,3,1.0,False,ambohimanandray,0.0,0.0,False,voiture_avec_parking,Appartement,ambohimanandray,177.0
False,False,F3,False,interieur,bon,False,True,False,3000000.0,True,2,2.0,True,andrefan'ankadimbahoaka,0.0,0.0,True,voiture_avec_parking,Appartement,andrefan'ankadimbahoaka,132.0
False,False,F2,False,interieur,bon,False,True,False,2000000.0,True,1,1.0,True,ankadindratombo,0.0,0.0,True,sans,Appartement,ankadindratombo,197.0
False,True,F6,False,interieur,bon,False,False,False,20000000.0,True,5,5.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,143.0
False,True,F6,False,interieur,bon,False,False,False,20000000.0,True,5,5.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,499.0
False,True,F6,False,interieur,bon,False,False,False,20000000.0,True,5,5.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Appartement,ambatobe,550.0
False,False,F2,True,interieur,bon,False,True,False,4000000.0,False,2,1.0,False,andohalo,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,173.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,248.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,482.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,529.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,632.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,644.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,732.0
False,False,F4,False,interieur,bon,False,False,False,1500000.0,True,3,1.0,False,ambodivona,0.0,0.0,False,voiture_avec_parking,Appartement,ambodivona,842.0
False,False,F3,False,interieur,bon,False,True,False,1800000.0,True,2,1.0,False,ambohibao,0.0,0.0,False,sans,Appartement,ambohibao,360.0
False,False,F3,False,interieur,bon,False,True,False,1800000.0,True,2,1.0,False,ambohibao,0.0,0.0,False,sans,Appartement,ambohibao,439.0
False,False,F3,False,interieur,bon,False,True,False,1800000.0,True,2,1.0,False,ambohibao,0.0,0.0,False,sans,Appartement,ambohibao,675.0
False,False,F3,False,interieur,bon,False,True,False,1800000.0,True,2,1.0,False,ambohibao,0.0,0.0,False,sans,Appartement,ambohibao,870.0
False,True,F0,False,interieur,bon,False,False,False,7000000.0,False,0,3.0,False,tsiadana,0.0,0.0,True,voiture_avec_parking,Maison,tsiadana,49.0
True,True,F5,False,interieur,bon,False,True,False,10000000.0,False,4,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,143.0
True,True,F5,False,interieur,bon,False,True,False,10000000.0,False,4,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,499.0
True,True,F5,False,interieur,bon,False,True,False,10000000.0,False,4,3.0,True,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,550.0
False,False,F3,False,interieur,bon,False,True,False,800000.0,False,2,1.0,False,andohanimandroseza ambohibat,0.0,0.0,False,voiture_avec_parking,Appartement,,
False,False,F2,False,interieur,bon,True,False,False,1750000.0,True,1,1.0,False,antanimena,0.0,0.0,False,voiture_avec_parking,Appartement,antanimena,81.0
False,False,F4,False,interieur,bon,True,False,False,1300000.0,False,3,1.0,False,ambohimanarina,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F2,False,interieur,bon,False,True,False,3700000.0,True,1,1.0,False,faravohitra mandrosoa,0.0,0.0,False,sans,Appartement,faravohitra mandrosoa,36.0
False,False,F6,False,interieur,bon,False,True,False,10000000.0,False,4,4.0,True,mandroseza afovoany mandroseza,0.0,0.0,True,voiture,Villa,mandroseza afovoany mandroseza,62.0
False,False,F3,False,interieur,bon,False,True,False,6900000.0,True,2,1.0,False,ambohijatovo,0.0,0.0,True,voiture_avec_parking,Appartement,ambohijatovo,664.0
False,False,F3,False,interieur,bon,False,True,False,6900000.0,True,2,1.0,False,ambohijatovo,0.0,0.0,True,voiture_avec_parking,Appartement,ambohijatovo,835.0
False,False,F4,True,interieur,bon,True,False,False,1800000.0,False,3,1.0,False,mandrosoa ivato,0.0,0.0,True,voiture_avec_parking,Villa,mandrosoa ivato,457.0
False,False,F6,False,interieur,bon,False,False,False,1200000.0,False,5,1.0,False,soavinimerina,0.0,0.0,True,voiture_avec_parking,Villa,soavinimerina,324.0
False,False,F6,False,interieur,bon,False,False,False,1200000.0,False,5,1.0,False,soavinimerina,0.0,0.0,True,voiture_avec_parking,Villa,soavinimerina,514.0
False,False,F6,False,interieur,bon,False,False,False,1200000.0,False,5,1.0,False,soavinimerina,0.0,0.0,True,voiture_avec_parking,Villa,soavinimerina,830.0
False,False,F0,False,interieur,bon,True,False,False,600000.0,False,1,1.0,False,andohalo,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F3,False,interieur,bon,False,False,False,1300000.0,False,2,1.0,False,ampandrana ankadivato,0.0,0.0,True,voiture_avec_parking,Appartement,ampandrana ankadivato,5.0
False,False,F3,False,interieur,bon,False,False,False,1600000.0,False,2,1.0,False,ambatomitsangana,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomitsangana,90.0
