id_quartier,Nom_Fokontany
335,Ambohiparaky
336,Ambatofamamba
337,Androndrabe
338,Ambodifilao
339,Mavolamba
340,Ambohimandroso
341,Ampahateza
342,Andranohandrona
343,Ivandry
344,Ambatomena
345,Morarano
346,Mandroseza
347,Atsimon'ambohidray
348,Imaola
349,Ankazolava
350,AMB
351,Soamanandray
352,Imerintsiafindra
353,Mijoro
354,Volotara
355,Ambovona
356,Ambohikely
357,Tanjondava
358,Ifarihy
359,Andranovelona
360,Ambohimilemaka
361,Mivoatra
362,Ambohitrarahaba
363,IIi
364,Andrefana
365,Antsakambahiny
366,Ambohidavenona
367,Fidasiana
368,Ambohidronono
369,Ambohinaorina
370,Antanetimboahangy
371,Fenomanana
372,Soaniadanana
373,Antsahavolo
374,Andavamamba
375,Isahafa
376,Andranomahitsy
377,Anosibe
378,Amorondria
379,Ivolaniray
380,Maibahoaka
381,Andriantsampana
382,Ampahibato
383,Ambohiboahangy
384,Mahabo
385,Ambatonakanga
386,Ambohimiadana
387,Ankadiaivo
388,Anjanamanoro
389,Antanimarina
390,Morombato
391,Vangaina
392,Andoharanofotsy
393,Ambodimita
394,Ambohipihaonana
395,Tanjonandriana
396,5a
397,Tsaramandroso
398,Falimanjaka
399,Ivato
400,Antalaho
401,Mahamasina
402,Iadiambola
403,Ambohitravao
404,Antsaonjomanga
405,Ambohimena
406,Ambatolampy
407,Ankadikely
408,Ambohitrantenaina
409,Antananambony
410,Miaramasoandro
411,A
412,Ambatomirahavavy
413,Tanjombato
414,Ambohitromby
415,Ambohitrakoho
416,Mahavoky
417,Soaloka
418,Tsiazotafo
419,Ankadindramamy
420,Amorona
421,Ampanaosoa
422,Ampahidralambo
423,Andohalafy
424,Andranomahery
425,Ampamaho
426,Antani
427,Antsakaviro
428,Ambohidroa
429,Ambohimanarivo
430,Marobiby
431,Andriankely
432,Antsofinondry
433,Ambohimahavelona
434,Tanambao
435,Ambovo
436,Ambavahadimitaf
437,And
438,Anosisoa
439,Tampontanana
440,Lalamby
441,Antsahondra
442,Ampandrana
443,Ampany
444,Ampahibe
445,Ambohipananina
446,Ambohibehivavy
447,Ilafy
448,Ambohimasimbola
449,Ambohibololona
450,Saropody
451,Andranomanjaka
452,Ampahitrosy
453,Ankerana
454,Miray
455,Betongolo
456,Ankorondrano
457,Anosizato
458,Ambohidrano
459,Anjanamasina
460,Antsalovana
461,Fiakarana
462,Ankazotoho
463,Ambolo
464,Ampanefy
465,Antsobolo
466,Masombahiny
467,Soanavela
468,Ambohitsilaizina
469,II
470,Nanisana
471,Ambohibe
472,Soanierana
473,Ambohidehilahy
474,Ambohiborosy
475,Ambohitrinilahy
476,Ambodivonkely
477,Rova
478,Ambatol
479,Mangarano
480,Imerinafovoany
481,Fara
482,Andranotsimihozo
483,Miandrarivo
484,Ampahimasina
485,Firaisana
486,Ambohitrinilanitra
487,Ambatombositra
488,Vohitsara
489,Faliarivo
490,Soavina
491,Ambonisaha
492,Ambodivato
493,Ankadifotsy
494,Ambohitraivo
495,Vaovao
496,Ankazobe
497,Manjaka
498,Maromby
499,Betsizaraina
500,Ampandriambehivavy
501,Alatsinainy
502,Isoraka
503,Ambalavao
504,Anosiarivo
505,IIl
506,IIn
507,Amparafaravato
508,Antalata
509,Masomboay
510,Imerimanjaka
511,Ivoanjo
512,Masinandriana
513,Antsaharatsy
514,Ampitatafika
515,Soarano
516,Mamoriarivo
517,Fandrakotra
518,Ambohijatovo
519,Ambohitrinimanga
520,Mandalotsimaka
521,Alarobia
522,Tsimahafotsy
523,Cite
524,Madera
525,Ambohimarina
526,67ha
527,Ambohidrazaka
528,Gare
529,Amboasary
530,Atsimomparihy
531,Ambohibarikely
532,Avaratra
533,Ankadivory
534,Andidiana
535,Andranomanalina
536,Ambodiafontsy
537,IIo
538,Ambaniavaratra
539,Ankadivola
540,Mandriambero
541,Tsiafahy
542,Ambodizozoro
543,Ambodirotra
544,Anosimiarinimerina
545,Bejofo
546,Ambohipotsy
547,Tsarasaotra
548,Firavahana
549,Antsampandrano
550,Antsahafohy
551,Talatamaty
552,Soamanjaka
553,Ambohibahiny
554,Ambodihady
555,Soamiampita
556,Soavimalaza
557,Ambohitsoa
558,Ambohimahitsy
559,Antangirika
560,Antanjona
561,Mahereza
562,Ambohidrakitra
563,Fihasinana
564,Est
565,Amberokely
566,Mahazaza
567,Amboavahy
568,Ampataka
569,Ampefiloha
570,Ambohipoloalina
571,Moratsiazo
572,Antanandrano
573,IIig
574,Ambohinome
575,Antsiriry
576,Ampahimaro
577,Besarety
578,Ankadilalana
579,Ankaditany
580,Ambohitrandriamanjaka
581,Zaivola
582,Vakinampasika
583,Antakiaka
584,Tsimialonjafy
585,Mandroso
586,Vahilava
587,Ankazotokana
588,Avaratanana
589,Ouest
590,Tsararirinina
591,Antoby
592,Amboatany
593,Anosipatrana
594,Antetezanafovoany
595,Andrangaranga
596,Ambatomainty
597,Ambohimangakely
598,Antanimenabe
599,Fanamiana
600,Antsahadinta
601,Ambatomboahangy
602,Soamonina
603,Ambohibao
604,Mandrangobato
605,Ambohimangidy
606,Ambat
607,Andafiavaratra
608,IIin
609,Maharidaza
610,Anatihazo
611,Andraonimanana
612,Tsena
613,Ambihivy
614,Soavinimerina
615,Ambatofolaka
616,Antetezankazo
617,Androhibe
618,Ambodifahitra
619,Ankazomanga
620,Andrefantsena
621,Fiaferana
622,Rangaina
623,Ambohipiainana
624,Anjakaivo
625,Ambatovinaky
626,Satrokoditra
627,Andramanonga
628,Avarajozoro
629,Ambohimamory
630,Ambatomitsangana
631,Ambohitraina
632,Ny
633,Tsarahonenana
634,Andraravola
635,Ilaivola
636,Ambohibato
637,IIs
638,Betafo
639,Anosimahavelona
640,Antanivony
641,Faa
642,Ambohitrombihavana
643,Beloha
644,Ambatofotsy
645,Ampandrotrarana
646,Merikanjaka
647,Ambohimitsimbina
648,Anjehivola
649,Antsapanimahazo
650,Antanambahiny
651,Ambatotelo
652,Lavahitsiny
653,Ambohimiariana
654,Ankaditoho
655,Bearambola
656,Andranovao
657,Avaratrimanarina
658,Ambohitsitakatra
659,Belambanana
660,Antsahasoa
661,Ampandrilaza
662,Atsimo
663,Andranoro
664,Andranofotsy
665,Iharamy
666,Amboatavo
667,Antsaharoaloha
668,Ambohimanala
669,IIIJ
670,Diankazo
671,Andralantoina
672,Ambohidrapeto
673,Ankarefo
674,Miadana
675,Hina
676,Soaranokely
677,Ambohitrakely
678,Tsarafara
679,Ankafotra
680,Aeroport
681,Antanimora
682,Manonilahy
683,Zafimbazahakely
684,Ampamoabe
685,Avarakady
686,Ambanidia
687,Ivatobe
688,Ambohidahy
689,Antanjombe
690,Ambodifasika
691,Antsararay
692,Andohanimasina
693,Ampamantanana
694,Manantsoa
695,Manjakamiadana
696,Bevato
697,Atsinanantsena
698,Lohanosy
699,Behitsy
700,Angarangarana
701,Soavinandriamanitra
702,Anakakondro
703,Ambohimahamanina
704,Manakambahiny
705,Andohavary
706,Namehana
707,Soanarivo
708,Soamananety
709,Ambohijafy
710,Fonohasina
711,Mahalavolona
712,Ambo
713,Ambilanibe
714,Antsahamarofoza
715,Andranomaintso
716,Andrefan'i
717,Antanifotsy
718,Amboditsiry
719,Andrakaja
