Antanimalalaka Analakely
Ambalavao Isotry
Ambatonakanga Ambohitsorohitra
Ambatovinaky
Soarano Ambondrona Ambodifilao
Ampandrana Ankadivato
Amparibe Ambohidahy Mahamasina
Amboasarikely Ambatomena
Anatihazo Isotry
Andavamamba Anatihazo I
Andavamamba Anatihazo II
Andavamamba Anjezika I
Andavamamba Anjezika II
Andohatapenaka I
Andohatapenaka II
Andohatapenaka IIi
Andranomanalina Afovoany
Andranomanalina I
Andranomanalina Isotry
Ankasina
Antetezanafovoany I
Antetezanafovoany II
Antohomadinika Afovoany
Antohomadinika Atsimo
Antohomadinika Avaratra Antani
Antohomadinika Antsalovana Faa
Antohomadinika IIig Hangar
Avaratetezana Bekiraro
Cite Ambodin'isotry
Cite Ampefiloha
67ha Afovoany Andrefana
67ha Atsimo
67ha Avaratra Andrefana
67ha Avaratra Atsinanana
Lalamby Sy Ny Manodidina
Faravohitra Ambony
Faravohitra Mandrosoa
Isoraka Ampatsakana
Fiata
Manarintsoa Afovoany
Manarintsoa Anatihazo
Manarintsoa Atsinanana
Manarintsoa Isotry
Soarano Ambondrona Tsiazotafo
Faliarivo Ambanidia
Antanimora Ampasanimalo
Antsahabe Ankorahotra Ankazoto
Ambohitsiroa Vn
Ankazotokana Ambony
Tsiadana
Volosarika Ambanidia
Andafiavaratra Ambavahadimitaf
Manjakamiadana Antsahondra AMB
Ambatoroka
Miandrarivo Ambanidia
Ambolokandrina 5a
Andohan'i Mandroseza Ambohibat
Ambohipo Tanana Ampahateza And
Ambohipotsy Ambohimitsimbina A
Andohamandry
Manakambahiny Ankerakely Ambat
Ambohimiandra Fenomanana Antsa
Mandroseza Afovoany Mandroseza
Mahazoarivo Ambohidraserika
Morarano Andrangaranga Ambatol
Ambohitsoa Ankazolava Antanamb
Androndrabe Ampamantanana Ambo
Androndrakely Saropody Antonta
Antaninandro Ampandrana
Ankorondrano Andranomahery
Ankorondrano Atsinanana
Ankorondrano Andrefana
Ankazomanga Andraharo
Ambodivona Ankadifotsy
Tsaramasay
Ankadifotsy Befelatanana
Ambohibary Antanimena
Andravoahangy Tsena
Mandialaza Ambodivona
Soavinandriana
Mandialaza Ankadifotsy
Antanimena
Ankadifotsy Antanifotsy
Ankaditapaka Avaratra
Mandialaza Ambatomitsangana
Andravoahangy Andrefana
Mahavoky
Andravoahangy Atsinanana
Behoririka Ambatomitsangana
Avaradoha
Ambatomitsangana
Behoririka Ankaditapaka
Betongolo
Ampandrana Besarety
Besarety
Behoririka
Ampandrana Andrefana
Ambohitrakely
Ampandrana Atsinanana
Ankadivato IIl
Ampahibe
Antsakaviro Ambodirotra
Andrefan'ambohijanahary IIIG-I
Ambodirano Ampefiloha
Ilanivato Ampasika
Ampangabe Anjanakinifolo
Anosipatrana Andrefana
Anosipatrana Atsinanana
Ivolaniray
Andavamamba Ambilanibe
Anosibe Andrefana II
Anosibe Andrefana I
Andrefan'ambohijanahary IIIH-I
Mahamasina Atsimo
Tsimialonjafy
Ambanin'ampamarinana
Ankadilalana
Tsarafaritra
Fiadanana IIil
Fiadanana IIin
Mananjara
Andrefan'i Mananjara
Anosibe Ambohibarikely
Mandrangobato I
Mandrangobato II
Anosizato Atsinanana II
Anosizato Atsinanana I
Angarangarana
Madera Namontana
Soanierana III-I Cite Gare
Soanierana IIIJ
Ankaditoho Marohoho
Andrefan'ankadimbahoaka
Ankazotoho Anosimahavelona
Ambatomainty
Soavimasoandro
Androhibe
Morarano
Alarobia Amboniloha
Ivandry
Ambodivoanjo Ambohijatovo Fara
Analamahitsy Cite
Analamahitsy Tanana
Ambatobe
Amboditsiry
Manjakaray IIc
Manjakaray IIb
Manjakaray IId
Anjanahary IIs
Anjanahary IIo
Anjanahary IIa
Anjanahary IIn
Nanisana Iadiambola
Ankerana Ankadindramamy
Ambohidahy
Ambatokaranana
Ambohimirary
Ampanotokana
Tsarahonenana
Andraisoro
Ambatomaro Antsobolo
Anosisoa
Avaratanana
Ampefiloha Ankeniheny
Ambatolampy
Andranomena
Ambohidroa
Ampandriambehivavy
Ambaravarankazo
Amboavahy
Avaratetezana
Amorona
Ambodimita
Ambodivona
Anosibe Zaivola
Antanjombe Avaratra
Antanety Avaratra
Ambohimanandray
Anosivavaka
Antanjombe Ambony
Anjanakomboro
Antsararay
Ambohimiadana Avaratra
Ambohimitsinjo
Antanety Atsimo
Ambohimiadana Atsimo
Ambohimandroso
Betafo
Ambodivonkely
Ambodihady
Andraharo
Ankazomanga Atsimo
Alasora
Ankazobe
Mandikanamana
Sud Ambohipo
Mahitsy
Ankadindratombo
Est Mahazoarivo
Ambodivoanjo
Ambohidrazaka
Mahatsinjo
Ambatomalaza
Ankadiaivo
Amboaroy
Ambohitanety
Ampahibato
Ambohimarina
Ambodivondava
Miadana
Mendrikolovana
Ambohitromby
Ankadikely
Antsahamarofoza
Andranovelona
Ambohipanja
Ambohitraina
Belanitra
